state,postal,median_USD,N_draws,state_pop,median_USD_per_capita
Louisiana,LA,65415099380.06094,490,6268647.987,10435.280385135613
Florida,FL,35990775038.4452,490,30017680.5,1198.9858789537452
New Jersey,NJ,12313772404.809786,490,14874579.71,827.8400227020455
Virginia,VA,10016043293.219421,490,11155174.42,897.8831631051647
California,CA,8443014967.163255,490,68692389.74,122.91048541359504
Massachusetts,MA,7760135114.695034,490,8113445.765,956.4536868134269
New York,NY,5917142742.168033,490,29487567.57,200.6656781072713
North Carolina,NC,4839983779.710989,490,12208657.79,396.4386473077635
Maryland,MD,2653349766.174754,490,7667239.344,346.06325003420346
Pennsylvania,PA,1651356933.6034353,490,12588384.05,131.18100997271648
South Carolina,SC,1635003386.15765,490,6130082.517,266.71800609917466
Georgia,GA,1035915868.839775,490,15848527.07,65.36354225628205
Mississippi,MS,809193691.948839,490,3972417.076,203.70310480178767
Alabama,AL,440226406.84343,490,6659553.771,66.10449017777441
Washington,WA,410027002.6278572,490,8541149.109,48.0060700726794
Delaware,DE,386089982.170825,490,1115789.704,346.0239692002258
Connecticut,CT,230799061.14886698,490,3843580.918,60.047925638303674
Rhode Island,RI,182990116.9393738,490,1099010.986,166.50435643540854
Maine,ME,148546410.5307707,490,1014008.881,146.49419084404516
Oregon,OR,106924561.7870371,490,4756900.606,22.477779260758663
District of Columbia,DC,68352883.2399843,490,946592.0481,72.20944162501918
New Hampshire,NH,49994997.1377109,490,1303529.174,38.35356978186888
