component,period,brick_baseline_tsls,brick_baseline_p5,brick_baseline_p95,brick_baseline_intercept_balance_K,brick_pulse_tsls,brick_pulse_p5,brick_pulse_p95,grinsted_model_mu,grinsted_model_sigma,grinsted_obs_mu,grinsted_obs_sigma,n_cells
Steric,2016-2050,1.1214951095123102,1.2618679612209103,1.3690028216556878,-1.068828476516269,2.2124010984244973,1.4469584285524075,3.0174241698447073,2.1,0.8,1.4,0.5,10000
Steric,2051-2100,1.1006477934642183,1.1555542708695328,1.1956700245700924,-0.4422230822671476,0.8056628059012237,0.45118986604202177,1.1326644586611667,1.5,0.2,1.4,0.5,10000
GIS,2016-2050,0.18386113803238385,0.17117371476518456,0.18421346343075334,-2.7476156377014953,0.1923866452029811,0.043240629398750334,0.5030509350856714,,,0.4,0.2,10000
GIS,2051-2100,0.18915283588128634,0.17559150608912705,0.18183915360139177,-2.4394076572783883,0.18447169841353647,0.04306691900199773,0.5294096366968063,0.8,0.2,0.4,0.2,10000
AIS,2016-2050,6.056185600018003,6.430465942421573,6.594135723630268,0.5439019775859161,0.09064590005348974,-0.23755148887349978,0.2321852605912713,,,0.4,0.2,10000
AIS,2051-2100,3.2438558642901247,2.7787138940902576,2.971085249548423,-0.5776956640855337,0.13529795963930383,-0.25526710842328343,0.46965887228102104,0.0,0.3,0.4,0.2,10000
GSIC,2016-2050,0.6705209749306594,0.6540531819389674,0.664929068961871,-1.048341557467827,0.6432049319475471,0.6182131388717615,0.7593171552380096,2.8,0.4,,,10000
GSIC,2051-2100,0.44133189051063104,0.4297439231332546,0.43344030049058385,-1.7023320454843975,0.4008398929407838,0.3141239450025792,0.4791724068089553,0.7,0.1,,,10000
GMSL,2016-2050,8.032062822493357,8.584055010109633,8.755232441178185,0.11045365226416715,3.1255630627152984,2.4188180230422818,3.936256671154441,5.3,1.0,3.3,0.4,10000
GMSL,2051-2100,4.9749883841462585,4.5554690722398075,4.764734873177593,-0.7182745662236424,1.546726146412559,1.197098303499981,1.8613301589596802,3.0,0.4,3.3,0.4,10000
