kind,year,N_train,R2oof,R2sd,R2_inf
total,2100,500,0.6289859487840056,0.015779152264323165,0.9007
total,2100,1000,0.6721759881157475,0.009234129928810536,0.9007
total,2100,2000,0.6990838042690181,0.006424976835333041,0.9007
total,2100,4000,0.7337758985379562,0.006475557561591278,0.9007
total,2100,7000,0.7514158082282328,0.0010809070939240546,0.9007
total,2150,500,0.5838046364329008,0.02309423592392853,0.868
total,2150,1000,0.6260429127217452,0.011933475483609634,0.868
total,2150,2000,0.6550504690690563,0.010276311997558537,0.868
total,2150,4000,0.6910986101431399,0.008372091457026016,0.868
total,2150,7000,0.7077043833418556,0.0033958167343329736,0.868
pulse,2150,500,0.5648052109292527,0.01937290241796057,1.0
pulse,2150,1000,0.6218642980354693,0.01414367377700895,1.0
pulse,2150,2000,0.656582900125621,0.007114705963401341,1.0
pulse,2150,4000,0.7047777821118144,0.004477175590576021,1.0
pulse,2150,7000,0.7484041832785211,0.007327691607922119,1.0
